Tethea ocularis
Tetrao urogallus
Tetrix bipunctata
Tetrix ceperoi
Tetrix tuerki
Tettigonia caudata
Teucrium botrys
Teucrium scordium
Thalictrum alpinum
Thalictrum flavum
Thalictrum simplex
Thelephora anthocephala
Thelotrema lepadinum
Thelypteris palustris
Theodoxus fluviatilis
Thesium bavarum
Thesium linophyllon
Thesium rostratum
Thlaspi brachypetalum
Thlaspi caerulescens
Thumatha senex
Thymelicus acteon
Thymus longicaulis
Timmia norvegica
Tofieldia pusilla
Torilis arvensis
Tortula lanceola
Trechispora microspora
Trechoblemus micros
Trichoglossum hirsutum
Tricholoma cingulatum
Tricholoma ustaloides
Trichophaea hemisphaerioides
Trichophorum alpinum
Trichophorum pumilum
Trientalis europaea
